"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","11615.053480090279","12691.790487017759","15019.530171685761","14757.086685559072","16245.003051324342","16486.42075219715","14475.872958410577","14668.67049037469","16744.312282440093","21233.302249957254","20225.17110114142","18758.034089678917","19521.57748341692","22064.06736420903","22658.287903363125","21545.530324017494","23045.55386153583","24829.855526727475","22976.177858191142","22404.951717126616","21620.002019067564","20342.761203668357","19938.16745210585","20560.101965838654","20352.446334631495","19193.203580389647","18293.656788726894","18698.672772454993","19177.817974609614","19709.675354242114","20295.188291461407","20360.391055890053","19806.030608709945","19689.35900543235","19195.64198524796","18664.508860571565","19289.01864877322","20381.069421515047"
"3.1. Pastagem","11615.053480090279","12691.790487017759","15019.530171685761","14757.086685559072","16245.003051324342","16486.42075219715","14474.801261364677","14668.67049037469","16744.312282440093","21233.302249957254","20225.17110114142","18758.034089678917","19521.57748341692","22062.102747552533","22655.876783538904","21543.11918807389","23043.85687303485","24806.63410972308","22930.538854962386","22367.529759997713","21610.356748993097","20332.312164007708","19923.96751582655","20545.27719451297","20336.99642716079","19178.557342676024","18263.73850548715","18626.332528961342","19080.920214685295","19634.477984460624","20105.853731927717","20098.359370178383","19533.103133557357","19483.41295893577","19087.31020610977","18555.105612414827","19104.14626821902","20214.14843430191"
"3.2. Agricultura","","","","","","","1.0716970458984376","","","","","","","1.9646166564941412","2.4111198242187495","2.4111359436035156","1.6969885009765624","23.221417004394546","45.63900322875976","37.42195712890626","9.645270074462893","10.449039660644532","14.199936279296875","14.824771325683598","15.44990747070313","14.646237713623044","29.918283239746085","72.3402434936524","96.89775992431647","75.19736978149416","189.3345595336915","262.03168571167","272.92747515258793","205.946046496582","108.33177913818356","109.40324815673827","184.8723805541993","166.9209872131349"
"3.3. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área não Vegetada","7049.428083300731","8579.228656225441","9299.425872106776","10175.210551013039","10540.132677618252","11128.150212286251","11434.04049663074","11950.434544897334","12272.492131390245","12537.213905041375","12881.864524273535","13995.1237335875","14889.66732898548","15712.139245220775","16347.956587750095","17370.296058141896","17616.256290521116","18129.980449804498","18455.33491683944","18656.723747564487","18989.31845304551","19292.436413445925","19827.76997608028","20365.150979730126","20920.829971649164","21842.07768204931","22708.750208062527","23432.341048266477","24079.843951599058","24487.437477001753","24682.933816967587","25050.438777136034","25420.353681506178","25907.90424995707","26248.441947588988","26370.083956738144","26719.25453315404","27368.699102490173"
"4.1. Praia, Duna e Areal","643.989372460943","580.2171778747552","563.8720302856418","589.9525648071349","630.2347313354484","656.1364812255808","654.171656213374","645.240518926998","670.785887872308","690.2567543090756","667.7473582641614","667.9260492553715","698.2941957092257","690.8806915161115","689.9867339782678","697.7572238586406","685.0736536132847","685.9678645385713","642.3814232849107","624.696037677006","599.1510088562095","615.4956937988372","581.8230794860903","618.0854463317953","602.7231450195378","679.6252691833457","669.7998702026348","703.9186715820281","637.2876580627492","613.349435913083","548.3263209533693","538.6792419555665","461.15179968261543","455.52477182616957","420.9593253417963","389.9657982666043","388.3580496643091","387.5541953552271"
